Date,Company,value,MarketCap,BookMarket,PriceBook
2012-08-31,air-liquide,23.058522431746773,39130.0,0.35335689045936397,2.83
2012-09-30,air-liquide,22.86343126296997,39130.0,0.35335689045936397,2.83
2012-10-31,air-liquide,21.619909949924637,39130.0,0.35335689045936397,2.83
2012-11-30,air-liquide,21.133788108825684,39130.0,0.35335689045936397,2.83
2012-12-31,air-liquide,22.434676002053653,39130.0,0.35335689045936397,2.83
2013-01-31,air-liquide,23.857010667974297,44250.0,0.3401360544217687,2.94
2013-02-28,air-liquide,24.59496898651123,44250.0,0.3401360544217687,2.94
2013-03-31,air-liquide,23.965221309661864,44250.0,0.3401360544217687,2.94
2013-04-30,air-liquide,22.32739176068987,44250.0,0.3401360544217687,2.94
2013-05-31,air-liquide,23.274239886890758,44250.0,0.3401360544217687,2.94
2013-06-30,air-liquide,23.51170063018799,44250.0,0.3401360544217687,2.94
2013-07-31,air-liquide,24.6367305258046,44250.0,0.3401360544217687,2.94
2013-08-31,air-liquide,25.831492684104226,44250.0,0.3401360544217687,2.94
2013-09-30,air-liquide,26.99046870640346,44250.0,0.3401360544217687,2.94
2013-10-31,air-liquide,28.90728353417438,44250.0,0.3401360544217687,2.94
2013-11-30,air-liquide,29.227104277837846,44250.0,0.3401360544217687,2.94
2013-12-31,air-liquide,29.265690326690674,44250.0,0.3401360544217687,2.94
2014-01-31,air-liquide,31.09642401608554,42970.0,0.33444816053511706,2.99
2014-02-28,air-liquide,32.33252124786377,42970.0,0.33444816053511706,2.99
2014-03-31,air-liquide,33.31853230794271,42970.0,0.33444816053511706,2.99
2014-04-30,air-liquide,31.801556015014647,42970.0,0.33444816053511706,2.99
2014-05-31,air-liquide,32.3110463402488,42970.0,0.33444816053511706,2.99
2014-06-30,air-liquide,34.69643311273484,42970.0,0.33444816053511706,2.99
2014-07-31,air-liquide,33.04188396619714,42970.0,0.33444816053511706,2.99
2014-08-31,air-liquide,31.733381453014555,42970.0,0.33444816053511706,2.99
