,infl_e,rate,sp500,corp_debt,deflator,unempl,gdp,rpi,dpi,manufacturing,splong
1999-02-01,2.5,4.764642857142857,,1010.4661904761905,1.3666666666666667,4.7,9449.858,10988.184,9476.2,5.7,1246.5821147717927
1999-03-01,2.7,4.809354838709678,,1008.2304347826087,1.4333333333333333,4.4,9488.034,11000.779,9484.1,5.5,1281.663913892663
1999-04-01,2.7,4.7363333333333335,,1018.585909090909,1.5,4.1,9526.21,10969.064,9453.0,5.300000000000001,1334.7566615513392
1999-05-01,2.8,4.742258064516129,,1005.6642857142857,1.4666666666666666,4.0,9579.681999999999,10994.059,9469.3,5.1000000000000005,1332.0740112304688
1999-06-01,2.5,4.764666666666667,,988.2118181818182,1.4333333333333333,4.5,9633.154,11033.786,9501.3,4.9,1322.552734375
1999-07-01,2.7,4.994193548387097,,997.0808695652174,1.4,4.5,9686.626,11061.061,9519.0,4.7,1380.990001860119
1999-08-01,2.8,5.072258064516129,,987.9795454545455,1.6666666666666667,4.2,9757.807,11111.719,9559.1,4.5,1327.488653009588
1999-09-01,2.7,5.224333333333333,,992.3531818181818,1.9333333333333336,4.1,9828.988,11105.537,9546.7,4.3,1318.1719040643602
1999-10-01,2.9,5.199999999999999,,989.9172727272727,2.2,3.8,9900.169,11171.257,9598.7,4.1,1300.010009765625
1999-11-01,2.9,5.42,,1004.3527272727272,2.3666666666666667,3.8,9934.172333333334,11247.83,9660.9,3.9,1391.0028483072917
1999-12-01,3.0,5.295806451612902,,1001.3239130434783,2.5333333333333337,3.7,9968.175666666666,11339.82,9735.9,3.6999999999999997,1428.6840931285512
2000-01-01,3.0,5.448387096774193,,992.5595238095239,2.7,4.5,10002.179,11441.669,9799.9,3.5,1425.5855041503905
2000-02-01,2.9,5.7348275862068965,,1002.3633333333333,2.6333333333333333,4.4,10084.026,11488.814,9837.9,3.3666666666666667,1388.8744995117188
2000-03-01,3.2,5.853548387096774,,1008.3256521739131,2.566666666666667,4.3,10165.873,11520.777,9864.0,3.2333333333333334,1442.212598717731
2000-04-01,3.2,6.019666666666667,,1014.2940000000001,2.5,3.7,10247.72,11582.719,9913.7,3.1,1461.3552567331415
2000-05-01,3.0,6.268064516129033,,990.6047826086957,2.466666666666667,3.8,10271.201666666666,11624.34,9954.5,2.966666666666667,1418.4795476740057
2000-06-01,2.9,6.528333333333333,,1012.085909090909,2.433333333333333,4.1,10294.683333333334,11657.461,9982.3,2.8333333333333335,1461.9590897993608
2000-07-01,3.0,6.5445161290322575,,1026.317142857143,2.4,4.2,10318.165,11719.57,10035.9,2.7,1473.0024963378905
2000-08-01,2.7,6.496774193548387,,1041.294347826087,2.3333333333333335,4.1,10357.358,11783.694,10098.3,2.5666666666666664,1485.45825726053
2000-09-01,2.9,6.5169999999999995,,1047.870909090909,2.2666666666666666,3.8,10396.551000000001,11794.536,10110.3,2.4333333333333336,1468.05400390625
2000-10-01,3.2,6.509354838709677,,1055.8277272727273,2.2,3.6,10435.744,11824.829,10139.2,2.3,1390.144092906605
2000-11-01,2.9,6.514333333333334,,1058.9131818181818,2.3666666666666667,3.7,10447.239666666666,11832.213,10143.5,2.166666666666667,1375.0376034691221
2000-12-01,2.8,6.402258064516129,,1081.674761904762,2.5333333333333337,3.7,10458.735333333334,11859.86,10164.3,2.033333333333333,1330.9294982910155
2001-01-01,3.0,5.975806451612903,,1102.2895454545453,2.7,4.7,10470.231,11932.006,10211.7,1.9,1335.6390555245537
2001-02-01,2.8,5.494285714285715,,1118.2795,2.6,4.6,10513.154,11960.086,10223.4,2.4666666666666663,1305.7515804893092
2001-03-01,2.8,5.3109677419354835,,1135.408260869565,2.5,4.5,10556.077,12003.752,10254.4,3.033333333333333,1185.850008877841
2001-04-01,3.1,4.8020000000000005,,1131.094,2.4,4.2,10599.0,11981.996,10233.1,3.5999999999999996,1189.8369995117187
2001-05-01,3.2,4.21225806451613,,1137.1752173913044,2.1333333333333333,4.1,10598.673333333334,11953.393,10214.7,4.166666666666666,1270.3686356977983
2001-06-01,3.0,3.969666666666667,,1153.9204545454545,1.8666666666666667,4.7,10598.346666666666,11940.34,10218.1,4.7333333333333325,1238.7104666573662
2001-07-01,2.6,3.769032258064516,,1163.4140909090909,1.6,4.7,10598.02,11940.991,10370.7,5.299999999999999,1204.4495210193452
2001-08-01,2.7,3.6525806451612906,,1184.341739130435,1.5,4.9,10618.835000000001,11924.877,10543.1,5.866666666666665,1178.5039274796195
2001-09-01,2.8,3.069,,1190.1766666666667,1.4000000000000001,4.7,10639.65,11930.997,10452.8,6.433333333333332,1044.643994140625
2001-10-01,1.0,2.485161290322581,,1204.9195652173914,1.3,5.0,10660.465,11904.934,10267.7,6.999999999999998,1076.5904381793478
2001-11-01,0.4,2.087,,1211.3545454545454,1.3,5.3,10701.476666666667,11910.073,10279.7,7.566666666666665,1129.6833321707588
2001-12-01,1.8,1.817741935483871,,1198.475,1.3,5.4,10742.488333333333,11929.854,10298.9,8.133333333333331,1144.9300109863282
2002-01-01,1.9,1.7296774193548385,,1213.2422727272728,1.3,6.3,10783.5,11952.127,10514.7,8.7,1140.2076241629463
2002-02-01,2.1,1.7396428571428573,,1215.0535,1.3333333333333333,6.1,10818.153333333334,11953.58,10531.6,8.516666666666666,1100.6689388877467
2002-03-01,2.7,1.73,,1202.9495238095237,1.3666666666666667,6.1,10852.806666666665,11946.054,10539.0,8.333333333333332,1153.7910034179688
2002-04-01,2.8,1.7530000000000001,,1212.8768181818182,1.4,5.7,10887.46,11960.946,10574.2,8.149999999999999,1112.034540349787
2002-05-01,2.7,1.751290322580645,,1215.5239130434782,1.5666666666666667,5.5,10919.653333333334,11993.987,10616.5,7.966666666666666,1079.2672784978693
2002-06-01,2.7,1.7503333333333333,,1235.7133333333334,1.7333333333333332,6.0,10951.846666666666,12023.36,10648.2,7.783333333333333,1014.0480072021485
2002-07-01,2.6,1.729032258064516,,1234.1665217391305,1.9,5.9,10984.04,11987.388,10621.0,7.6,903.5854575417259
2002-08-01,2.6,1.7432258064516128,,1246.7204347826087,2.033333333333333,5.7,11009.837666666668,11987.158,10623.0,7.416666666666666,912.5522738370029
2002-09-01,2.5,1.7506666666666668,,1276.5442857142857,2.1666666666666665,5.4,11035.635333333334,11994.021,10633.6,7.233333333333333,867.8120056152344
2002-10-01,2.5,1.7548387096774194,,1260.1660869565217,2.3,5.3,11061.433,12014.38,10661.8,7.05,854.6313078507134
2002-11-01,2.4,1.3359999999999999,,1285.5081818181818,2.1999999999999997,5.6,11098.998333333335,12040.567,10690.9,6.866666666666667,909.9270050048829
2002-12-01,2.5,1.2383870967741937,,1308.3842857142856,2.1,5.7,11136.563666666667,12067.267,10719.9,6.683333333333334,899.1785743350074
2003-01-01,2.5,1.2351612903225806,,1324.6790909090907,2.0,6.5,11174.129,12033.66,10710.4,6.5,895.8361903599331
2003-02-01,2.7,1.2621428571428572,,1343.7215,1.8,6.4,11220.341333333334,11991.075,10674.0,6.216666666666667,837.6189510947779
2003-03-01,3.1,1.2529032258064516,,1356.4885714285715,1.5999999999999999,6.2,11266.553666666667,12008.784,10696.5,5.933333333333334,846.6214250837054
2003-04-01,2.4,1.258,,1366.9966666666667,1.4,5.8,11312.766,12058.25,10752.7,5.65,890.0257132393973
2003-05-01,2.0,1.2590322580645161,,1416.0552173913043,1.7,5.8,11397.400333333333,12147.017,10832.0,5.366666666666667,935.9628528413318
